date,sales,state,week_of_year,month,quarter,year,day_of_week,is_holiday,lag_1w,lag_2w,lag_4w,roll_mean_4w,roll_std_4w,roll_mean_8w,roll_std_8w
2019-02-10,0.0,Alabama,6,2,1,2019,6,0,0.0,0.0,109574036.0,27393509.0,54787018.00000001,,
2019-02-17,0.0,Alabama,7,2,1,2019,6,0,0.0,0.0,0.0,0.0,0.0,,
2019-02-24,0.0,Alabama,8,2,1,2019,6,0,0.0,0.0,0.0,0.0,0.0,,
2019-03-03,0.0,Alabama,9,3,1,2019,6,0,0.0,0.0,0.0,0.0,0.0,,
2019-03-10,0.0,Alabama,10,3,1,2019,6,0,0.0,0.0,0.0,0.0,0.0,13696754.5,38740271.94878944
2019-03-17,112189103.8,Alabama,11,3,1,2019,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-24,0.0,Alabama,12,3,1,2019,6,0,112189103.8,0.0,0.0,28047275.95,56094551.9,14023637.975,39664838.03611073
2019-03-31,0.0,Alabama,13,3,1,2019,6,0,0.0,112189103.8,0.0,28047275.95,56094551.9,14023637.975,39664838.03611073
2019-04-07,0.0,Alabama,14,4,2,2019,6,0,0.0,0.0,0.0,28047275.95,56094551.9,14023637.975,39664838.03611073
2019-04-14,0.0,Alabama,15,4,2,2019,6,0,0.0,0.0,112189103.8,28047275.95,56094551.9,14023637.975,39664838.03611073
2019-04-21,0.0,Alabama,16,4,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,14023637.975,39664838.03611073
2019-04-28,0.0,Alabama,17,4,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,14023637.975,39664838.03611073
2019-05-05,0.0,Alabama,18,5,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,14023637.975,39664838.03611073
2019-05-12,0.0,Alabama,19,5,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,14023637.975,39664838.03611073
2019-05-19,0.0,Alabama,20,5,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-26,0.0,Alabama,21,5,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-02,0.0,Alabama,22,6,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-09,0.0,Alabama,23,6,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-16,129106730.4,Alabama,24,6,2,2019,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-23,0.0,Alabama,25,6,2,2019,6,0,129106730.4,0.0,0.0,32276682.6,64553365.2,16138341.3,45646122.281331696
2019-06-30,0.0,Alabama,26,6,2,2019,6,0,0.0,129106730.4,0.0,32276682.6,64553365.2,16138341.3,45646122.281331696
2019-07-07,0.0,Alabama,27,7,3,2019,6,0,0.0,0.0,0.0,32276682.6,64553365.2,16138341.3,45646122.281331696
2019-07-14,0.0,Alabama,28,7,3,2019,6,0,0.0,0.0,129106730.4,32276682.6,64553365.2,16138341.3,45646122.281331696
2019-07-21,0.0,Alabama,29,7,3,2019,6,0,0.0,0.0,0.0,0.0,0.0,16138341.3,45646122.281331696
2019-07-28,0.0,Alabama,30,7,3,2019,6,0,0.0,0.0,0.0,0.0,0.0,16138341.3,45646122.281331696
2019-08-04,0.0,Alabama,31,8,3,2019,6,0,0.0,0.0,0.0,0.0,0.0,16138341.3,45646122.281331696
2019-08-11,0.0,Alabama,32,8,3,2019,6,0,0.0,0.0,0.0,0.0,0.0,16138341.3,45646122.281331696
2019-08-18,108083723.8,Alabama,33,8,3,2019,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-25,0.0,Alabama,34,8,3,2019,6,0,108083723.8,0.0,0.0,27020930.95,54041861.89999999,13510465.475,38213367.01743692
2019-09-01,0.0,Alabama,35,9,3,2019,6,0,0.0,108083723.8,0.0,27020930.95,54041861.89999999,13510465.475,38213367.01743692
2019-09-08,0.0,Alabama,36,9,3,2019,6,0,0.0,0.0,0.0,27020930.95,54041861.89999999,13510465.475,38213367.01743692
2019-09-15,0.0,Alabama,37,9,3,2019,6,0,0.0,0.0,108083723.8,27020930.95,54041861.89999999,13510465.475,38213367.01743692
2019-09-22,0.0,Alabama,38,9,3,2019,6,0,0.0,0.0,0.0,0.0,0.0,13510465.475,38213367.01743692
2019-09-29,0.0,Alabama,39,9,3,2019,6,0,0.0,0.0,0.0,0.0,0.0,13510465.475,38213367.01743692
2019-10-06,0.0,Alabama,40,10,4,2019,6,0,0.0,0.0,0.0,0.0,0.0,13510465.475,38213367.01743692
2019-10-13,234715198.6,Alabama,41,10,4,2019,6,0,0.0,0.0,0.0,0.0,0.0,13510465.475,38213367.01743692
2019-10-20,116218908.9,Alabama,42,10,4,2019,6,0,234715198.6,0.0,0.0,58678799.65,117357599.3,29339399.825,82984354.28880362
2019-10-27,109968010.6,Alabama,43,10,4,2019,6,0,116218908.9,234715198.6,0.0,87733526.875,112263636.5704089,43866763.4375,87181023.29872616
2019-11-03,0.0,Alabama,44,11,4,2019,6,0,109968010.6,116218908.9,0.0,115225529.525,95887663.4015017,57612764.7625,87942495.24257505
2019-11-10,0.0,Alabama,45,11,4,2019,6,0,0.0,109968010.6,234715198.6,115225529.525,95887663.4015017,57612764.7625,87942495.24257505
2019-11-17,109056410.0,Alabama,46,11,4,2019,6,0,0.0,0.0,116218908.9,56546729.875,65344388.953205295,57612764.7625,87942495.24257505
2019-11-24,113040422.1,Alabama,47,11,4,2019,6,0,109056410.0,0.0,109968010.6,54756105.15,63227999.36899891,71244816.0125,86170704.90594646
2019-12-01,0.0,Alabama,48,12,4,2019,6,0,113040422.1,109056410.0,0.0,55524208.025,64134460.01285207,85374868.775,81985638.49751121
2019-12-08,0.0,Alabama,49,12,4,2019,6,0,0.0,113040422.1,0.0,55524208.025,64134460.01285207,85374868.775,81985638.49751122
2019-12-15,108528456.4,Alabama,50,12,4,2019,6,0,0.0,0.0,109056410.0,55524208.025,64134460.01285207,56035468.949999996,59942169.139800504
2019-12-22,116541575.0,Alabama,51,12,4,2019,6,0,108528456.4,0.0,113040422.1,55392219.625,63987943.90918736,55074162.3875,58891570.93827473
2019-12-29,106949922.2,Alabama,52,12,4,2019,6,0,116541575.0,108528456.4,0.0,56267507.85,65054425.40275559,55895857.9375,59805669.423234135
2020-01-05,116651493.0,Alabama,1,1,1,2020,6,0,106949922.2,116541575.0,0.0,83004988.4,55495759.63830281,69264598.21249999,57432459.061498836
2020-01-12,120522113.9,Alabama,2,1,1,2020,6,0,116651493.0,106949922.2,108528456.4,112167861.65,5154431.143144757,83846034.83749999,51874020.96374114
2020-01-19,105904865.6,Alabama,3,1,1,2020,6,0,120522113.9,116651493.0,116541575.0,115166276.025,5781890.874513218,85279247.825,52819824.9043063
2020-01-26,106265736.6,Alabama,4,1,1,2020,6,0,105904865.6,120522113.9,106949922.2,112507098.67500001,7208517.307763748,84387303.26249999,52342151.9715692
2020-02-02,108358279.6,Alabama,5,2,1,2020,6,0,106265736.6,105904865.6,116651493.0,112336052.27499999,7390163.011781983,97670520.33749999,39863703.78749076
2020-02-09,131945461.1,Alabama,6,2,1,2020,6,0,108358279.6,106265736.6,120522113.9,110262748.925,6924565.635008815,111215305.28750001,5742227.267219892
2020-02-16,107397612.3,Alabama,7,2,1,2020,6,0,131945461.1,108358279.6,105904865.6,113118585.725,12597765.012907833,114142430.875,9140083.676899841
2020-02-23,107801054.3,Alabama,8,2,1,2020,6,0,107397612.3,131945461.1,106265736.6,113491772.39999999,12332149.794628536,112999435.5375,9366147.902266249
2020-03-01,0.0,Alabama,9,3,1,2020,6,0,107801054.3,107397612.3,108358279.6,113875601.825,12053009.785558026,113105827.05,9292155.588207804
2020-03-08,128066130.9,Alabama,10,3,1,2020,6,0,0.0,107801054.3,131945461.1,86786031.925,58984907.08555819,98524390.425,40854828.53360633
2020-03-15,132632134.0,Alabama,11,3,1,2020,6,0,128066130.9,0.0,107397612.3,85816199.375,58018870.54786456,99467392.55,41516811.86101475
2020-03-22,127145065.2,Alabama,12,3,1,2020,6,0,132632134.0,128066130.9,107801054.3,92124829.8,62357429.65240943,102808301.10000001,43152032.44076267
2020-03-29,116657084.0,Alabama,13,3,1,2020,6,0,127145065.2,132632134.0,0.0,96960832.525,64685063.40219446,105418217.175,44013822.92230878
2020-04-05,0.0,Alabama,14,4,2,2020,6,0,116657084.0,127145065.2,128066130.9,126125103.525,6752598.22629584,106455567.725,44190457.355136536
