model,RMSE,MAE,MAPE%,state
XGBoost,205934672.83,203704018.36,43.37,Alabama
XGBoost,211259866.24,210240605.05,49.67,Arizona
XGBoost,103705481.41,102230878.61,45.09,Arkansas
XGBoost,846609505.3,832034020.98,43.73,California
XGBoost,159369610.19,157022447.52,49.75,Colorado
XGBoost,84542485.49,83108630.71,45.26,Connecticut
XGBoost,662865763.14,650945771.94,51.46,Florida
XGBoost,349861627.96,339204028.6,44.26,Georgia
XGBoost,308067160.16,304891721.3,47.91,Illinois
XGBoost,203763436.3,201766552.2,48.97,Indiana
XGBoost,104023122.65,102748498.15,47.45,Iowa
XGBoost,82351617.0,81088335.68,46.99,Kansas
XGBoost,162950920.0,158029170.57,45.02,Kentucky
XGBoost,178363578.73,176850851.21,46.26,Louisiana
XGBoost,41176242.57,40056958.06,47.47,Maine
XGBoost,149513131.21,146985675.01,48.35,Maryland
XGBoost,167844687.83,165202365.75,49.66,Massachusetts
XGBoost,280535128.54,276508193.32,47.41,Michigan
XGBoost,148438874.79,147274119.85,46.01,Minnesota
XGBoost,93856175.43,90249921.15,61.19,Mississippi
XGBoost,183459390.04,182865211.32,50.72,Missouri
XGBoost,43496016.81,40247504.24,64.65,Nebraska
XGBoost,93580163.14,91594844.3,45.77,Nevada
XGBoost,56624341.26,56039380.84,44.07,New Hampshire
XGBoost,68168836.92,67617319.92,48.6,New Mexico
XGBoost,424867135.78,418400980.79,42.96,New York
XGBoost,332069051.0,325114752.06,46.4,North Carolina
XGBoost,342245495.56,338270961.05,49.32,Ohio
XGBoost,144977689.4,144492930.64,46.95,Oklahoma
XGBoost,109056721.29,107992828.48,44.87,Oregon
XGBoost,342965257.34,336568673.2,44.29,Pennsylvania
XGBoost,25570238.95,25429340.49,48.32,Rhode Island
XGBoost,183935793.3,182426998.26,48.48,South Carolina
XGBoost,25871297.2,25652045.4,51.06,South Dakota
XGBoost,258093672.39,254476260.01,44.68,Tennessee
XGBoost,875297430.8,861640603.82,44.52,Texas
XGBoost,79193079.53,78754624.53,51.24,Utah
XGBoost,17119531.73,16838443.6,45.02,Vermont
XGBoost,275285525.29,273442963.35,48.09,Virginia
XGBoost,177586504.2,175878959.94,45.27,Washington
XGBoost,70593753.82,69561511.95,46.25,West Virginia
XGBoost,149623894.42,147491380.06,46.32,Wisconsin
XGBoost,20935678.29,20761148.58,43.37,Wyoming
